ID	Species	Data_type	Fasta	Lineage	Paper	Source	Note	
CUS00001	Mantamonas sphyraenae	transcriptome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00001.fa	d__Eukaryota;p__CRuMs;c__Mantamonas;o__Mantamonas;f__Mantamonas;g__Mantamonas;s__Mantamonas sphyraenae SRT-306	https://doi.org/10.1038/s41597-023-02488-2	https://figshare.com/articles/dataset/_strong_One_high-quality_genome_and_two_transcriptome_datasets_for_two_new_species_of_strong_em_strong_Mantamonas_strong_em_strong_a_deep-branching_eukaryote_clade_strong_/22802432	 	
CUS00002	Mantamonas vickermani	genome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00002.fa	d__Eukaryota;p__CRuMs;c__Mantamonas;o__Mantamonas;f__Mantamonas;g__Mantamonas;s__Mantamonas vickermani CRO19MAN	https://doi.org/10.1038/s41597-023-02488-2	https://figshare.com/articles/dataset/_strong_One_high-quality_genome_and_two_transcriptome_datasets_for_two_new_species_of_strong_em_strong_Mantamonas_strong_em_strong_a_deep-branching_eukaryote_clade_strong_/22802433	 	
CUS00003	Agogonia voluta	transcriptome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00003.fa	d__Eukaryota;p__Discoba;c__Jakobida;o__Jakobida;f__Ophirinina;g__Agogonia;s__Agogonia voluta	https://doi.org/10.1093/gbe/evad058	https://figshare.com/articles/dataset/Genomes_transcriptomes_and_proteomes_for_Agogonia_voluta_and_Ophirina_chinija/20332842/3	The proteins from the genome have a lot of proteins	 will use the transcriptome
CUS00004	Ophirina chinija 	transcriptome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00004.fa	d__Eukaryota;p__Discoba;c__Jakobida;o__Jakobida;f__Ophirinina;g__Ophirina;s__Ophirina chinija 	https://doi.org/10.1093/gbe/evad058	https://figshare.com/articles/dataset/Genomes_transcriptomes_and_proteomes_for_Agogonia_voluta_and_Ophirina_chinija/20332842/3	The proteins from the genome have a lot of proteins	 will use the transcriptome
CUS00005	Rapaza viridis	transcriptome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00005.fa	d__Eukaryota;p__Discoba;c__Euglenozoa;o__Euglenida;f__core-euglenids;g__Rapaza;s__Rapaza viridis	https://doi.org/10.1073/pnas.2220100120	https://datadryad.org/stash/dataset/doi:10.5061/dryad.37pvmcvpn		
CUS00006	Eupelagonemid E7	single-cell transcriptome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00006.fa	d__Eukaryota;p__Discoba;c__Euglenozoa;o__Diplonemea;f__Eupelagonemidae;g__Eupelagonema;s__Eupelagonemid E7	https://doi.org/10.1093/ismejo/wrae040	https://datadryad.org/stash/dataset/doi:10.5061/dryad.hqbzkh1pj		
CUS00007	Eupelagonemid E8	single-cell transcriptome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00007.fa	d__Eukaryota;p__Discoba;c__Euglenozoa;o__Diplonemea;f__Eupelagonemidae;g__Eupelagonema;s__Eupelagonemid E8	https://doi.org/10.1093/ismejo/wrae040	https://datadryad.org/stash/dataset/doi:10.5061/dryad.hqbzkh1pj		
CUS00008	Skoliomonas sp. GEMRC	genome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00008.fa	d__Eukaryota;p__Metamonada;c__Skoliomonas;o__Skoliomonas;f__Skoliomonas;g__Skoliomonas;s__Skoliomonas sp GEMRC	https://doi.org/10.1101/2023.05.03.539051 	https://datadryad.org/stash/share/SNhoYuY19An041SeN194bwM_K3WIqqOO4TwltqK1mn0	Pre-publication	
CUS00009	Skoliomonas sp. RCL	genome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00009.fa	d__Eukaryota;p__Metamonada;c__Skoliomonas;o__Skoliomonas;f__Skoliomonas;g__Skoliomonas;s__Skoliomonas sp RCL	https://doi.org/10.1101/2023.05.03.539051 	https://datadryad.org/stash/share/SNhoYuY19An041SeN194bwM_K3WIqqOO4TwltqK1mn0	Pre-publication	
CUS00010	Skoliomonas litria	genome	/gpfs/projects/bsc40/current/gmutti/DB/new_genomes/data/proteomes/CUS00010.fa	d__Eukaryota;p__Metamonada;c__Skoliomonas;o__Skoliomonas;f__Skoliomonas;g__Skoliomonas;s__Skoliomonas litria	https://doi.org/10.1101/2023.05.03.539051 	https://datadryad.org/stash/share/SNhoYuY19An041SeN194bwM_K3WIqqOO4TwltqK1mn0	Pre-publication	
