Statistic	Information	Fischer	Normalization	AssumesUltrametrictree	Requiresbinarytree	Assumesrootedtree	Sensitivetorootposition	Reference
area_per_pair	Topology	Shape	Yule	NO	YES	YES	YES	Limaetal.,2020
average_leaf_depth	Topology	Imbalance	Yule	NO	YES	YES	YES	Shao&Sokal,1990
avg_ladder	Topology	Shape	None	NO	YES	YES	YES	Kendalletal.,2018
avg_vert_depth	Topology	Imbalance	None	NO	NO	YES	YES	Colijn&Gardy,2014
b1	Topology	Balance	Tips	NO	NO	YES	YES	Shao&Sokal,1990
b2	Topology	Balance	Yule	NO	NO	YES	YES	Shao&Sokal,1990
beta	Topology	Noindex	None	NO	YES	YES	YES	Aldous,1996
blum	Topology	Imbalance	None	NO	YES	YES	YES	Blum&François,2006
cherries	Topology	Shape	Yule	NO	YES	NO	YES	McKenzieetal.,1999
colless	Topology	Imbalance	Yule	NO	YES	YES	YES	Colless,1982
colless_corr	Topology	Imbalance	None	NO	YES	YES	YES	Heard,1992
colless_quad	Topology	Imbalance	None	NO	YES	YES	YES	Bartoszeketal.,2021
crown_age	Branchingtimes	Noindex	None	NO	NO	YES	YES	
diameter	Topology	Shape	None	NO	YES	YES	YES	Chindelevitchetal.,2021
double_cherries	Topology	Shape	None	NO	YES	NO	YES	Chindelevitchetal.,2021
eigen_centrality	Topology	Noindex	None	NO	NO	NO	YES	Chindelevitchetal.,2021
eigen_centralityW	Topology+branchlengths	Noindex	None	NO	NO	NO	YES	Chindelevitchetal.,2021
ew_colless	Topology	Imbalance	None	NO	YES	YES	YES	Mooers&S.B.Heard,1997
four_prong	Topology	Shape	None	NO	YES	NO	YES	Chindelevitchetal.,2021
gamma	Branchingtimes	Noindex	None	YES	NO	YES	YES	Pybus&Harvey,2000
i_stat	Topology	Imbalance	None	NO	YES	YES	YES	Fusco&Cronk,1995
il_number	Topology	Shape	Tips	NO	NO	NO	YES	Kendalletal.,2018
imbalance_steps	Topology	Noindex	Tips	NO	NO	YES	YES	Janzen&Etienne,2024
j_one	Topology	Noindex	None	NO	YES	YES	YES	Lemantetal.,2022
j_stat	Topology+branchlengths	Noindex	None	NO	NO	NO	NO	Izsák&Papp,2000
laplace_spectrum_a	Topology+branchlengths	Noindex	None	YES	NO	NO	YES	Lewitus&Morlon,2016
laplace_spectrum_e	Topology+branchlengths	Noindex	None	YES	NO	NO	YES	Lewitus&Morlon,2016
laplace_spectrum_g	Topology+branchlengths	Noindex	None	YES	NO	NO	YES	Lewitus&Morlon,2016
laplace_spectrum_p	Topology+branchlengths	Noindex	None	YES	NO	NO	YES	Lewitus&Morlon,2016
max_adj	Topology+branchlengths	Noindex	None	NO	YES	NO	YES	Chindelevitchetal.,2021
max_betweenness	Topology	Shape	Tips	NO	YES	YES	YES	Chindelevitchetal.,2021
max_closeness	Topology	Shape	Tips	NO	YES	NO	Small	Chindelevitchetal.,2021
max_closenessW	Topology+branchlengths	Shape	None	NO	YES	NO	Small	Chindelevitchetal.,2021
max_del_width	Topology	Shape	Tips	NO	NO	YES	YES	Colijn&Gardy,2014
max_depth	Topology	Imbalance	Tips	NO	NO	YES	YES	Colijn&Gardy,2014
max_ladder	Topology	Shape	None	NO	YES	NO	YES	Kendalletal.,2018
max_laplace	Topology+branchlengths	Noindex	None	NO	YES	NO	YES	Chindelevitchetal.,2021
max_width	Topology	Balance	Tips	NO	NO	YES	YES	Colijn&Gardy,2014
mean_branch_length	Topology+branchlengths	Noindex	None	NO	NO	NO	YES	Janzen&Etienne,2017
mean_branch_length_ext	Topology+branchlengths	Noindex	None	NO	NO	NO	NO	Saulnieretal.,2017
mean_branch_length_int	Topology+branchlengths	Noindex	None	NO	NO	NO	YES	Saulnieretal.,2017
min_adj	Topology+branchlengths	Noindex	None	NO	YES	NO	YES	Chindelevitchetal.,2021
min_laplace	Topology+branchlengths	Noindex	None	NO	YES	NO	YES	Chindelevitchetal.,2021
mntd	Topology+branchlengths	Noindex	None	NO	NO	NO	NO	Webbetal.,2002
mpd	Topology+branchlengths	Noindex	Tips	NO	NO	NO	NO	Webbetal.,2002
mw_over_md	Topology	Balance	None	NO	NO	YES	YES	Colijn&Gardy,2014
nltt_base	Branchingtimes	Noindex	None	YES	NO	YES	YES	Janzenetal.,2015
number_of_lineages	Topology+branchlengths	Noindex	None	NO	NO	NO	NO	
phylogenetic_div	Topology+branchlengths	Noindex	None	NO	NO	YES	YES	Faith,1992
pigot_rho	Branchingtimes	Noindex	None	YES	NO	YES	YES	Pigotetal.,2010
pitchforks	Topology	Shape	Tips	NO	NO	NO	YES	Kendalletal.,2018
psv	Topology+branchlengths	Noindex	Tips	NO	NO	NO	NO	Helmusetal.,2007
rogers	Topology	Imbalance	Tips	NO	YES	NO	YES	Rogers,1996
root_imbalance	Topology	Shape	None	NO	YES	YES	YES	Guyeretal.,1993
rquartet	Topology	Balance	Yule	NO	NO	YES	YES	Coronadoetal.,2019
sackin	Topology	Imbalance	Yule	NO	YES	YES	YES	Sackin,1972
stairs	Topology	Imbalance	None	NO	YES	YES	YES	Norströmetal.,2012
stairs2	Topology	Balance	None	NO	YES	YES	YES	Norströmetal.,2012
